Calibration,Run,Wafer,Run-Wafer,Etch Rate_B,Etch Rate_C,Etch Rate_D
1,9,45,9-May,598.53,547.55,642.20
1,9,45,9-May,607.18,601.49,592.96
1,9,45,9-May,595.37,575.21,596.79
1,9,45,9-May,576.24,585.46,614.56
1,10,46,10-Jan,619.09,594.93,667.60
1,10,46,10-Jan,614.31,586.39,607.03
1,10,46,10-Jan,609.31,597.91,556.65
1,10,46,10-Jan,610.07,552.78,644.44
1,10,47,10-Feb,631.58,546.29,578.37
1,10,47,10-Feb,592.76,583.62,643.96
1,10,47,10-Feb,627.22,593.27,625.79
1,10,47,10-Feb,604.25,597.74,585.52
1,10,48,10-Mar,627.48,601.68,554.05
1,10,48,10-Mar,631.42,602.17,611.99
1,10,48,10-Mar,608.13,594.56,591.09
1,10,48,10-Mar,600.65,604.25,570.36
1,10,49,10-Apr,610.30,589.14,626.55
1,10,49,10-Apr,607.11,590.32,571.38
1,10,49,10-Apr,612.67,584.59,612.18
1,10,49,10-Apr,608.51,577.43,596.93
1,10,50,10-May,627.68,578.32,597.00
1,10,50,10-May,574.56,576.29,664.13
1,10,50,10-May,621.45,591.61,625.37
1,10,50,10-May,589.47,562.83,576.03
1,11,51,11-Jan,605.87,559.76,595.81
1,11,51,11-Jan,606.13,584.81,676.83
1,11,51,11-Jan,611.49,562.01,612.81
1,11,51,11-Jan,627.19,588.83,581.19
1,11,52,11-Feb,622.03,559.69,655.50
1,11,52,11-Feb,626.35,590.72,608.30
1,11,52,11-Feb,604.92,556.21,609.46
1,11,52,11-Feb,614.28,617.72,643.28
1,11,53,11-Mar,617.44,574.92,657.67
1,11,53,11-Mar,619.04,585.70,650.84
1,11,53,11-Mar,585.50,591.64,594.90
1,11,53,11-Mar,591.24,583.93,601.66
1,11,54,11-Apr,584.68,554.38,636.61
1,11,54,11-Apr,637.13,581.79,655.22
1,11,54,11-Apr,577.53,584.91,580.04
1,11,54,11-Apr,638.12,601.61,598.04
1,11,55,11-May,604.20,602.02,581.32
1,11,55,11-May,606.94,588.03,603.22
1,11,55,11-May,640.24,558.78,611.05
1,11,55,11-May,602.33,583.62,624.64
1,12,56,12-Jan,607.87,592.48,612.26
1,12,56,12-Jan,641.67,583.07,664.92
1,12,56,12-Jan,599.11,609.26,681.71
1,12,56,12-Jan,596.27,566.84,606.63
1,12,57,12-Feb,600.83,570.06,588.14
1,12,57,12-Feb,601.82,637.03,587.00
1,12,57,12-Feb,602.84,591.27,608.25
1,12,57,12-Feb,657.52,611.61,663.93
1,12,58,12-Mar,612.20,589.19,623.07
1,12,58,12-Mar,613.81,592.98,608.98
1,12,58,12-Mar,588.16,611.54,644.58
1,12,58,12-Mar,602.79,590.65,582.71
1,12,59,12-Apr,602.91,592.81,608.81
1,12,59,12-Apr,616.56,603.65,636.96
1,12,59,12-Apr,618.15,566.24,609.86
1,12,59,12-Apr,596.26,578.82,552.83
1,12,60,12-May,632.35,596.54,575.95
1,12,60,12-May,606.13,605.82,607.91
1,12,60,12-May,600.84,560.43,570.58
1,12,60,12-May,614.48,583.22,624.00
1,13,61,13-Jan,604.42,599.26,607.13
1,13,61,13-Jan,616.72,544.30,643.07
1,13,61,13-Jan,617.79,609.51,610.68
1,13,61,13-Jan,601.22,588.77,590.55
1,13,62,13-Feb,598.08,599.62,621.88
1,13,62,13-Feb,600.50,614.08,566.00
1,13,62,13-Feb,597.26,613.86,578.35
1,13,62,13-Feb,633.59,546.18,653.20
1,13,63,13-Mar,622.05,579.71,612.17
1,13,63,13-Mar,633.83,620.19,634.75
1,13,63,13-Mar,608.55,572.74,627.17
1,13,63,13-Mar,594.90,609.67,546.19
1,13,64,13-Apr,614.39,572.40,589.18
1,13,64,13-Apr,610.29,612.02,598.53
1,13,64,13-Apr,600.42,590.87,564.40
1,13,64,13-Apr,608.56,561.76,624.12
1,13,65,13-May,603.17,583.71,574.66
1,13,65,13-May,620.98,593.07,637.43
1,13,65,13-May,612.91,594.61,641.71
1,13,65,13-May,595.84,582.27,524.12
1,14,66,14-Jan,600.13,588.30,619.81
1,14,66,14-Jan,619.82,550.47,616.13
1,14,66,14-Jan,621.09,590.64,572.02
1,14,66,14-Jan,620.98,572.15,615.89
1,14,67,14-Feb,618.36,569.61,555.03
1,14,67,14-Feb,628.23,585.14,625.12
1,14,67,14-Feb,602.84,590.07,530.03
1,14,67,14-Feb,612.76,579.14,649.79
1,14,68,14-Mar,611.73,557.21,627.23
1,14,68,14-Mar,621.09,569.75,587.69
1,14,68,14-Mar,594.07,556.50,604.76
1,14,68,14-Mar,618.21,541.66,633.76
1,14,69,14-Apr,610.66,571.04,614.04
1,14,69,14-Apr,581.60,564.61,595.50
1,14,69,14-Apr,623.81,599.91,606.39
1,14,69,14-Apr,589.62,571.26,634.79
1,14,70,14-May,608.12,568.12,637.99
1,14,70,14-May,607.59,601.76,606.69
1,14,70,14-May,608.67,589.59,628.28
1,14,70,14-May,617.30,595.25,637.94
1,15,71,15-Jan,622.03,598.22,607.57
1,15,71,15-Jan,604.58,592.96,628.04
1,15,71,15-Jan,614.11,614.66,589.62
1,15,71,15-Jan,587.57,607.73,603.83
1,15,72,15-Feb,622.01,593.07,622.96
1,15,72,15-Feb,575.81,573.41,616.41
1,15,72,15-Feb,620.69,592.10,652.32
1,15,72,15-Feb,592.65,580.16,605.71
1,15,73,15-Mar,614.70,604.49,622.83
1,15,73,15-Mar,630.28,594.59,643.10
1,15,73,15-Mar,578.55,619.03,622.40
1,15,73,15-Mar,614.55,591.30,590.06
1,15,74,15-Apr,602.32,613.01,625.28
1,15,74,15-Apr,631.40,598.66,559.79
1,15,74,15-Apr,590.83,596.21,615.90
1,15,74,15-Apr,626.72,622.42,599.97
1,15,75,15-May,595.96,593.72,582.50
1,15,75,15-May,618.85,594.91,586.55
1,15,75,15-May,599.55,624.07,583.57
1,15,75,15-May,611.30,619.68,570.34
1,16,76,16-Jan,614.90,625.89,617.49
1,16,76,16-Jan,599.50,575.92,601.31
1,16,76,16-Jan,610.08,594.40,641.85
1,16,76,16-Jan,607.44,608.70,596.33
1,16,77,16-Feb,619.21,594.15,603.66
1,16,77,16-Feb,612.19,614.24,586.35
1,16,77,16-Feb,618.61,597.22,555.10
1,16,77,16-Feb,617.14,568.51,571.55
1,16,78,16-Mar,610.98,571.61,579.53
1,16,78,16-Mar,635.75,638.45,570.44
1,16,78,16-Mar,607.17,587.73,638.63
1,16,78,16-Mar,632.53,579.20,596.06
1,16,79,16-Apr,607.73,590.02,635.28
1,16,79,16-Apr,609.14,592.91,649.58
1,16,79,16-Apr,612.60,621.77,658.76
1,16,79,16-Apr,590.47,605.51,616.08
1,16,80,16-May,626.27,573.99,586.69
1,16,80,16-May,595.06,585.04,629.74
1,16,80,16-May,586.62,605.24,608.93
1,16,80,16-May,623.29,605.09,579.55
1,17,81,17-Jan,619.92,589.43,616.57
1,17,81,17-Jan,607.55,577.37,682.87
1,17,81,17-Jan,605.42,570.12,621.83
1,17,81,17-Jan,605.57,554.52,533.10
1,17,82,17-Feb,610.71,588.44,643.34
1,17,82,17-Feb,606.16,562.41,581.43
1,17,82,17-Feb,615.16,586.50,615.67
1,17,82,17-Feb,605.12,586.58,650.98
1,17,83,17-Mar,629.22,549.49,675.86
1,17,83,17-Mar,640.45,591.39,685.29
1,17,83,17-Mar,638.84,560.55,595.28
1,17,83,17-Mar,574.18,563.82,648.38
1,17,84,17-Apr,611.47,585.44,643.02
1,17,84,17-Apr,604.16,583.12,569.45
1,17,84,17-Apr,621.38,572.74,632.90
1,17,84,17-Apr,618.43,538.82,611.58
1,17,85,17-May,593.63,587.03,608.90
1,17,85,17-May,627.54,542.17,645.70
1,17,85,17-May,610.09,577.00,670.00
1,17,85,17-May,611.16,553.36,594.80
1,18,86,18-Jan,617.13,596.70,629.83
1,18,86,18-Jan,588.81,598.10,636.28
1,18,86,18-Jan,628.90,599.72,595.45
1,18,86,18-Jan,612.30,564.67,624.48
1,18,87,18-Feb,605.14,588.18,577.48
1,18,87,18-Feb,626.73,576.41,596.28
1,18,87,18-Feb,608.71,557.54,651.86
1,18,87,18-Feb,608.38,563.35,636.01
1,18,88,18-Mar,608.44,601.72,606.90
1,18,88,18-Mar,620.59,607.79,577.63
1,18,88,18-Mar,627.64,604.66,591.55
1,18,88,18-Mar,616.64,584.08,673.29
1,18,89,18-Apr,609.42,583.85,598.80
1,18,89,18-Apr,620.93,573.49,607.00
1,18,89,18-Apr,618.41,599.59,531.27
1,18,89,18-Apr,616.35,605.69,604.00
1,18,90,18-May,593.18,581.94,587.34
1,18,90,18-May,601.75,597.65,632.46
1,18,90,18-May,607.69,588.16,557.32
1,18,90,18-May,598.94,580.39,652.81
1,19,91,19-Jan,604.67,579.13,548.22
1,19,91,19-Jan,637.09,583.85,581.61
1,19,91,19-Jan,597.46,591.45,623.12
1,19,91,19-Jan,605.68,572.75,597.89
1,19,92,19-Feb,608.47,603.16,586.02
1,19,92,19-Feb,607.23,561.92,541.69
1,19,92,19-Feb,611.10,579.24,590.34
1,19,92,19-Feb,600.10,547.98,623.34
1,19,93,19-Mar,621.41,560.62,557.27
1,19,93,19-Mar,585.73,580.42,671.60
1,19,93,19-Mar,594.69,567.09,610.85
1,19,93,19-Mar,581.49,571.52,580.47
1,19,94,19-Apr,574.16,569.96,601.55
1,19,94,19-Apr,623.04,583.64,620.03
1,19,94,19-Apr,602.52,561.02,619.96
1,19,94,19-Apr,641.84,561.56,634.28
1,19,95,19-May,609.25,558.90,635.37
1,19,95,19-May,629.38,555.18,599.38
1,19,95,19-May,627.87,550.59,577.74
1,19,95,19-May,598.17,559.51,600.42
1,20,96,20-Jan,625.18,556.01,641.28
1,20,96,20-Jan,608.88,610.31,635.84
1,20,96,20-Jan,585.16,583.84,665.91
1,20,96,20-Jan,613.70,556.08,687.31
1,20,97,20-Feb,648.28,548.51,650.82
1,20,97,20-Feb,602.39,591.73,599.11
1,20,97,20-Feb,600.18,581.02,602.62
1,20,97,20-Feb,617.48,605.45,594.44
1,20,98,20-Mar,613.53,569.07,600.64
1,20,98,20-Mar,623.80,605.73,675.85
1,20,98,20-Mar,625.42,561.91,603.72
1,20,98,20-Mar,604.49,574.53,618.73
1,20,99,20-Apr,627.71,574.24,618.50
1,20,99,20-Apr,607.64,557.48,569.07
1,20,99,20-Apr,608.46,564.45,597.21
1,20,99,20-Apr,616.63,568.15,624.07
1,20,100,20-May,624.16,581.34,617.49
1,20,100,20-May,645.94,606.42,592.88
1,20,100,20-May,623.46,586.40,582.87
1,20,100,20-May,604.32,583.14,615.69
2,21,101,21-Jan,610.28,568.93,623.86
2,21,101,21-Jan,597.53,617.08,615.64
2,21,101,21-Jan,623.52,556.17,638.34
2,21,101,21-Jan,615.78,604.56,606.00
2,21,102,21-Feb,615.64,593.58,619.04
2,21,102,21-Feb,620.64,581.51,567.46
2,21,102,21-Feb,640.66,585.15,545.57
2,21,102,21-Feb,612.20,595.88,548.70
2,21,103,21-Mar,598.64,583.39,631.23
2,21,103,21-Mar,608.36,593.43,614.98
2,21,103,21-Mar,630.11,569.68,630.61
2,21,103,21-Mar,631.92,586.77,597.22
2,21,104,21-Apr,604.82,582.99,614.14
2,21,104,21-Apr,615.17,598.84,614.38
2,21,104,21-Apr,617.09,584.73,580.62
2,21,104,21-Apr,582.25,609.68,599.90
2,21,105,21-May,616.27,602.15,651.05
2,21,105,21-May,610.21,578.47,624.56
2,21,105,21-May,596.62,572.79,648.27
2,21,105,21-May,629.71,579.56,582.46
2,22,106,22-Jan,608.42,580.31,609.03
2,22,106,22-Jan,579.14,553.35,617.00
